100 500 0.000995, 0.0093
200 500 0.009801, 0.1623
300 500 0.016534, 0.3616
400 500 0.024541, 0.6413
500 500 0.047200, 1.0030
600 500 0.061651, 1.4854
700 500 0.058370, 1.9642
800 500 0.070299, 2.5617
900 500 0.087130, 3.2419
1000 500 0.106588, 4.0022
1100 500 0.119212, 4.8448
1200 500 0.110809, 5.7665
1300 500 0.131464, 6.7666
1400 500 0.181314, 7.8604
1500 500 0.178763, 9.0087
1600 500 0.159292, 10.2998
1700 500 0.240743, 11.6108
1800 500 0.275707, 13.0929
1900 500 0.318200, 14.6769
2000 500 0.338385, 16.5560
2100 500 0.729220, 22.1694
2200 500 0.948050, 29.6894
2300 500 1.078337, 35.1118
2400 500 1.375837, 42.0751
2500 500 1.311947, 49.9543
2600 500 1.475020, 52.9068
2700 500 1.500029, 57.4252
2800 500 1.684770, 62.1609
2900 500 1.686384, 67.2217
3000 500 1.878305, 72.4791
3100 500 1.875760, 77.4178
3200 500 4.774844, 82.4493
3300 500 2.113126, 87.6053
3400 500 2.305928, 93.0379
3500 500 2.328743, 98.5285
3600 500 2.560199, 104.2237
3700 500 2.514785, 109.9869
3800 500 2.788155, 116.1435
3900 500 2.759395, 122.3004
4000 500 3.516694, 128.6300
4100 500 2.960426, 135.1304
4200 500 3.438706, 141.8632
4300 500 3.439394, 148.6357
4400 500 3.962310, 155.5916
4500 500 3.846814, 162.7802
4600 500 4.663066, 170.1024
4700 500 5.028058, 177.6669
4800 500 7.855604, 185.1015
4900 500 6.851564, 192.9166
5000 500 8.710138, 200.9134
5100 500 10.667862, 208.9540
5200 500 12.881978, 217.3591
5300 500 14.841456, 225.6086
5400 500 16.935426, 234.2131
5500 500 18.266586, 242.9043
5600 500 20.182091, 251.7905
5700 500 21.143136, 261.0413
5800 500 22.946462, 270.1479
5900 500 24.211241, 279.4573
6000 500 25.702396, 289.0025
6100 500 26.618144, 298.6946
6200 500 27.911590, 308.8286
6300 500 28.537518, 318.5715
6400 500 26.268945, 328.6768
6500 500 30.494307, 339.0973
6600 500 31.852558, 349.6748
6700 500 32.391595, 360.4635
6800 500 26.292412, 371.0550
6900 500 34.736434, 382.0606
7000 500 36.111294, 393.2899
7100 500 36.953414, 404.5026
7200 500 41.751470, 416.0823
7300 500 39.139772, 427.5787
7400 500 40.574425, 439.4528
7500 500 42.175714, 451.2958
7600 500 34.940922, 463.3864
7700 500 43.362616, 475.6510
7800 500 44.872202, 487.9286
7900 500 45.641193, 500.6667
8000 500 50.174413, 513.3585
8100 500 47.933433, 526.2926
8200 500 50.093226, 539.4705
8300 500 50.311014, 552.6037
8400 500 52.026788, 565.9396
8500 500 52.977180, 579.5061
8600 500 54.590829, 593.2516
8700 500 55.373020, 607.0751
8800 500 58.583035, 621.2848
8900 500 57.738518, 635.2742
9000 500 59.798852, 649.7272
9100 500 59.827760, 664.1251
9200 500 62.384388, 678.7400
9300 500 63.092686, 693.8938
9400 500 64.215491, 708.7045
9500 500 66.189824, 723.7358
9600 500 86.254943, 738.9723
9700 500 68.137393, 754.4940
9800 500 78.345806, 770.5222
9900 500 70.402261, 785.8895
10000 500 90.521853, 801.7753
10100 500 74.365687, 817.9439
10200 500 76.740747, 834.3442
10300 500 77.481269, 850.9514
10400 500 80.487690, 867.0337
10500 500 81.497969, 883.9594
10600 500 82.670639, 901.0120
10700 500 133.304454, 917.9253
10800 500 85.530858, 935.3877
10900 500 132.692925, 952.5277
11000 500 89.430128, 970.0794
11100 500 90.801897, 988.1256
11200 500 100.774528, 1005.2373
11300 500 89.931117, 1023.6663
11400 500 95.591158, 1041.7170
11500 500 105.718138, 1060.2124
11600 500 103.065251, 1079.2782
11700 500 140.513972, 1097.3495
11800 500 102.511469, 1116.1929
11900 500 104.831711, 1135.0655
12000 500 110.623513, 1153.8805
12100 500 162.240956, 1173.8501
12200 500 202.775866, 1193.0394
12300 500 159.763617, 1212.5702
12400 500 116.835507, 1232.6314
12500 500 180.779529, 1252.4561
13000 250 62.108305, 677.1932
14000 250 111.559484, 785.5347
15000 250 143.401799, 901.4526
16000 250 142.967686, 1025.3760
17000 250 222.930556, 1157.7448
18000 250 297.648554, 1298.0533
19000 250 329.629350, 1445.9395
20000 250 356.869374, 1602.6218
21000 250 393.941388, 1766.1469
22000 250 488.004859, 1938.4320
23000 250 523.761871, 2118.6572
24000 250 567.749720, 2308.4564
25000 250 576.495161, 2502.8782
26000 250 681.389274, 2706.9101
27000 250 733.125706, 2918.8524
28000 250 771.265641, 3139.8855
29000 250 849.336658, 3367.1098
30000 250 908.999157, 3603.5342
