100 500 0.010237 0.0111
200 500 0.163511 0.1673
300 500 0.359395 0.3639
400 500 0.633875 0.6423
500 500 0.986066 0.9983
600 500 1.433331 1.4488
700 500 1.949739 1.9690
800 500 2.541481 2.5691
900 500 3.214878 3.2491
1000 500 3.966652 4.0093
1100 500 4.808683 4.8586
1200 500 5.719748 5.7795
1300 500 6.710202 6.7866
1400 500 7.784375 7.8729
1500 500 8.939137 9.0413
1600 500 10.169299 10.2839
1700 500 11.514132 11.6398
1800 500 12.943975 13.1409
1900 500 14.504425 14.8090
2000 500 16.081526 16.3425
2100 500 20.770165 21.1290
2200 500 28.985246 29.5162
2300 500 36.912909 37.3839
2400 500 43.673187 44.0123
2500 500 49.420282 49.6139
2600 500 53.900748 54.1629
2700 500 58.152657 58.4652
2800 500 62.532036 62.8329
2900 500 67.084340 67.3501
3000 500 71.086958 72.1617
3100 500 76.040856 77.0740
3200 500 81.572325 82.0464
3300 500 86.704283 87.2219
3400 500 92.277171 92.6358
3500 500 97.769677 98.2122
3600 500 103.531256 103.8353
3700 500 109.287081 109.6325
3800 500 115.506670 115.6806
3900 500 121.600562 121.9074
4000 500 128.010842 128.1641
4100 500 134.393303 134.6033
4200 500 141.167437 141.2926
4300 500 147.861756 148.1661
4400 500 154.881135 155.0632
4500 500 161.812068 162.1221
4600 500 169.274905 169.4885
4700 500 176.610190 176.9926
4800 500 184.322119 184.5279
4900 500 191.967775 192.2076
5000 500 200.044758 200.2089
5100 500 207.985603 208.3851
5200 500 216.282539 216.5395
5300 500 224.485636 224.8671
5400 500 233.245723 233.5086
5500 500 241.836474 242.3244
5600 500 250.852726 251.1359
5700 500 259.738824 260.0793
5800 500 269.141883 269.3663
5900 500 278.345303 278.8241
6000 500 287.925404 288.2562
6100 500 297.305345 297.8797
6200 500 307.442217 307.7888
6300 500 317.284053 317.8962
6400 500 327.462567 327.9191
6500 500 337.755261 338.1793
6600 500 348.478050 348.7881
6700 500 358.926691 359.5177
6800 500 369.785498 370.2144
6900 500 380.406307 381.0817
7000 500 391.881923 392.3088
7100 500 402.957917 403.7339
7200 500 414.609489 415.0373
7300 500 425.989106 426.5373
7400 500 436.657122 438.4071
7500 500 449.746841 450.4515
7600 500 461.855956 462.4503
7700 500 473.699037 474.5526
7800 500 486.530234 487.0712
7900 500 498.876452 499.7659
8000 500 511.803648 512.3798
8100 500 524.324632 525.1182
8200 500 537.851589 538.2890
8300 500 550.780553 551.6268
8400 500 564.206706 564.8660
8500 500 577.246416 578.2614
8600 500 591.404207 592.0740
8700 500 604.999406 606.0954
8800 500 619.301066 619.9200
8900 500 633.156662 633.9616
9000 500 647.898027 648.4157
9100 500 662.079949 663.0451
9200 500 676.746275 677.5873
9300 500 690.958979 692.2094
9400 500 706.444670 707.3232
9500 500 721.359472 722.6039
9600 500 736.675943 737.6419
9700 500 752.057519 753.0429
9800 500 768.174554 768.7829
9900 500 783.589251 784.6937
10000 500 799.575470 800.4404
10100 500 815.062896 816.4094
10200 500 831.866799 832.8518
10300 500 847.937413 849.3754
10400 500 864.910085 865.7721
10500 500 881.212613 882.3469
10600 500 898.678243 899.3319
10700 500 915.308064 916.6120
10800 500 932.563410 933.6362
10900 500 949.127340 951.3285
11000 500 967.489803 969.0655
11100 500 984.819206 986.5728
11200 500 1003.019958 1004.5899
11300 500 1020.606099 1022.4446
11400 500 1039.395021 1040.8139
11500 500 1057.350608 1058.9680
11600 500 1075.867883 1077.6357
11700 500 1093.516187 1096.0708
11800 500 1113.279442 1115.1128
11900 500 1131.850642 1133.8571
12000 500 1151.489836 1153.2039
12100 500 1170.218179 1172.2223
12200 500 1190.399708 1191.9305
12300 500 1209.482010 1211.3485
12400 500 1229.327968 1231.3048
12500 500 1248.458878 1251.0421
13000 250 675.821868 676.6715
14000 250 783.572059 784.7053
15000 250 899.513493 900.7952
16000 250 1023.203802 1024.7624
17000 250 1155.650709 1156.9492
18000 250 1295.083938 1296.9847
19000 250 1443.052767 1445.0360
20000 250 1599.192393 1601.0765
21000 250 1763.439507 1765.1898
22000 250 1934.737118 1937.2796
23000 250 2114.955005 2117.3746
24000 250 2302.800053 2305.5384
25000 250 2499.159695 2501.5057
26000 250 2702.194239 2705.5865
27000 250 2914.510571 2917.6403
28000 250 3134.487904 3137.7900
29000 250 3362.818159 3365.8599
30000 250 3597.372401 3601.9181
