# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 24 511998689280 1999994880 256.0 86758.94 384499300000.0 192.25014216036394 384492800000.0 192.24689215204393 130309.9914 768992100000.0 384.49703431240783
2097152000.0 24 511998689280 1999994880 256.0 86786.32 384507400000.0 192.25419217073195 384497700000.0 192.24934215831593 130352.8147 769005000000.0 384.50348432891985
2097152000.0 24 511998689280 1999994880 256.0 86827.19 384507000000.0 192.25399217021996 384493500000.0 192.2472421529399 130413.5324 769000500000.0 384.50123432315985
2097152000.0 24 511998689280 1999994880 256.0 86697.96 384495000000.0 192.24799215485993 384488500000.0 192.2447421465399 130216.6774 768983400000.0 384.4926843012718
2097152000.0 24 511998689280 1999994880 256.0 86806.04 384497300000.0 192.24914215780393 384495300000.0 192.2481421552439 130380.9219 768992500000.0 384.49723431291983
2097152000.0 24 511998689280 1999994880 256.0 86765.68 384502100000.0 192.25154216394793 384501200000.0 192.25109216279594 130321.6445 769003300000.0 384.5026343267439
2097152000.0 24 511998689280 1999994880 256.0 86794.3 384498500000.0 192.24974215933992 384495700000.0 192.24834215575592 130362.8146 768994100000.0 384.4980343149678
2097152000.0 24 511998689280 1999994880 256.0 86724.29 384510900000.0 192.25594217521197 384496900000.0 192.2489421572919 130259.4409 769007700000.0 384.5048343323759
2097152000.0 24 511998689280 1999994880 256.0 86748.32 384505700000.0 192.25334216855595 384496500000.0 192.24874215677994 130295.1336 769002300000.0 384.5021343254639
2097152000.0 24 511998689280 1999994880 256.0 86736.22 384498400000.0 192.24969215921192 384498200000.0 192.24959215895592 130276.2786 768996500000.0 384.49923431803984
2097152000.0 24 511998689280 1999994880 256.0 86781.93 384501500000.0 192.25124216317994 384500800000.0 192.25089216228395 130345.9965 769002200000.0 384.5020843253359
2097152000.0 24 511998689280 1999994880 256.0 86782.91 384497600000.0 192.24929215818793 384498800000.0 192.24989215972394 130345.804 768996600000.0 384.49928431816784
2097152000.0 24 511998689280 1999994880 256.0 86834.31 384500300000.0 192.25064216164392 384494600000.0 192.2477921543479 130423.5208 768994800000.0 384.49838431586386
2097152000.0 24 511998689280 1999994880 256.0 86838.83 384499100000.0 192.25004216010794 384503100000.0 192.25204216522795 130431.5717 769002100000.0 384.5020343252079
2097152000.0 24 511998689280 1999994880 256.0 86785.52 384510500000.0 192.25574217469995 384500100000.0 192.25054216138793 130352.0015 769010600000.0 384.50628433608784
2097152000.0 24 511998689280 1999994880 256.0 86763.94 384500500000.0 192.25074216189992 384500300000.0 192.25064216164392 130318.036 769000700000.0 384.50133432341585
2097152000.0 24 511998689280 1999994880 256.0 86798.19 384500200000.0 192.25059216151595 384501800000.0 192.25139216356396 130370.0003 769001900000.0 384.5019343249519
2097152000.0 24 511998689280 1999994880 256.0 86774.15 384503700000.0 192.25234216599594 384492300000.0 192.2466421514039 130332.9758 768995900000.0 384.49893431727185
2097152000.0 24 511998689280 1999994880 256.0 86810.08 384504500000.0 192.25274216701996 384506200000.0 192.25359216919594 130389.7506 769010900000.0 384.5064343364719
