# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 24 511998689280 999997440 512.0 100444.7 320464000000.0 320.4648203899402 320463200000.0 320.46402038789216 125740.4056 640927400000.0 640.9290407783445
2097152000.0 24 511998689280 999997440 512.0 100600.22 320462600000.0 320.4634203863562 320454200000.0 320.45502036485215 125933.7735 640916700000.0 640.9183407509523
2097152000.0 24 511998689280 999997440 512.0 100434.64 320469700000.0 320.47052040453224 320463200000.0 320.46402038789216 125729.8742 640932900000.0 640.9345407924244
2097152000.0 24 511998689280 999997440 512.0 100451.29 320466300000.0 320.4671203958282 320466100000.0 320.4669203953162 125750.4461 640932500000.0 640.9341407914004
2097152000.0 24 511998689280 999997440 512.0 100469.39 320464700000.0 320.4655203917322 320457700000.0 320.4585203738121 125771.4725 640922500000.0 640.9241407658003
2097152000.0 24 511998689280 999997440 512.0 100457.52 320468300000.0 320.4691204009482 320463500000.0 320.4643203886602 125757.3891 640931800000.0 640.9334407896084
2097152000.0 24 511998689280 999997440 512.0 100474.94 320466800000.0 320.4676203971082 320468900000.0 320.46972040248426 125780.4838 640935700000.0 640.9373407995924
2097152000.0 24 511998689280 999997440 512.0 100417.18 320464400000.0 320.46522039096425 320466100000.0 320.4669203953162 125707.0245 640930500000.0 640.9321407862805
2097152000.0 24 511998689280 999997440 512.0 100509.34 320459100000.0 320.45992037739614 320456200000.0 320.45702036997216 125820.7795 640915300000.0 640.9169407473684
2097152000.0 24 511998689280 999997440 512.0 100513.05 320474200000.0 320.47502041605225 320466900000.0 320.46772039736425 125828.7707 640941100000.0 640.9427408134164
2097152000.0 24 511998689280 999997440 512.0 100491.2 320466400000.0 320.46722039608426 320464700000.0 320.4655203917322 125799.8356 640931100000.0 640.9327407878164
2097152000.0 24 511998689280 999997440 512.0 100405.19 320468100000.0 320.4689204004362 320466200000.0 320.4670203955722 125692.2037 640934300000.0 640.9359407960085
2097152000.0 24 511998689280 999997440 512.0 100486.17 320461600000.0 320.4624203837962 320463000000.0 320.4638203873802 125792.2337 640924700000.0 640.9263407714324
2097152000.0 24 511998689280 999997440 512.0 100518.83 320463700000.0 320.46452038917226 320459500000.0 320.4603203784202 125832.688 640923100000.0 640.9247407673363
2097152000.0 24 511998689280 999997440 512.0 100578.36 320459600000.0 320.4604203786762 320459800000.0 320.46062037918813 125907.3036 640919100000.0 640.9207407570963
2097152000.0 24 511998689280 999997440 512.0 100487.86 320472500000.0 320.4733204117003 320471600000.0 320.47242040939625 125797.6205 640944200000.0 640.9458408213525
2097152000.0 24 511998689280 999997440 512.0 100561.87 320461300000.0 320.46212038302815 320459200000.0 320.4600203776522 125886.4794 640920600000.0 640.9222407609363
2097152000.0 24 511998689280 999997440 512.0 100501.15 320467400000.0 320.46822039864423 320459500000.0 320.4603203784202 125811.5018 640926900000.0 640.9285407770645
2097152000.0 24 511998689280 999997440 512.0 100413.76 320463900000.0 320.4647203896842 320455300000.0 320.4561203676682 125701.9917 640919200000.0 640.9208407573524
