# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 32 512000000000 16000000000 32.0 56738.67 387884500000.0 24.24278125 128119300000.00002 8.00745625 88390.3629 516003799999.99994 32.2502375
2097152000.0 32 512000000000 16000000000 32.0 58625.29 389643400000.0 24.3527125 128194400000.0 8.01215 91443.694 517837800000.0 32.3648625
2097152000.0 32 512000000000 16000000000 32.0 57652.41 388340500000.0 24.27128125 128264900000.00002 8.01655625 91472.6456 516605400000.00006 32.2878375
2097152000.0 32 512000000000 16000000000 32.0 59255.8 388243700000.0 24.26523125 128271500000.0 8.01696875 93134.0376 516515099999.99994 32.28219375
2097152000.0 32 512000000000 16000000000 32.0 58179.74 389404300000.0 24.33776875 128264999999.99998 8.0165625 91296.379 517669400000.0 32.3543375
2097152000.0 32 512000000000 16000000000 32.0 61039.8 387787100000.0 24.23669375 128267400000.00002 8.0167125 97925.5352 516054400000.0 32.2534
2097152000.0 32 512000000000 16000000000 32.0 57110.46 387622200000.0 24.2263875 128170099999.99998 8.01063125 88506.1404 515792400000.00006 32.237025
2097152000.0 32 512000000000 16000000000 32.0 56015.79 390000000000.0 24.375 128285200000.0 8.017825 87882.8026 518285200000.00006 32.392825
2097152000.0 32 512000000000 16000000000 32.0 57504.67 388262800000.0 24.266425 128269600000.0 8.01685 89266.1849 516532400000.00006 32.283275
2097152000.0 32 512000000000 16000000000 32.0 57990.59 387928600000.0 24.2455375 128113400000.00002 8.0070875 91771.5906 516042000000.0 32.252625
2097152000.0 32 512000000000 16000000000 32.0 58316.25 389433400000.0 24.3395875 128203800000.0 8.0127375 90684.0586 517637200000.0 32.352325
2097152000.0 32 512000000000 16000000000 32.0 59003.45 387200700000.0 24.20004375 128208800000.0 8.01305 95873.2542 515409400000.0 32.2130875
2097152000.0 32 512000000000 16000000000 32.0 56615.41 387644000000.0 24.22775 128110999999.99998 8.0069375 87998.7719 515755000000.0 32.2346875
2097152000.0 32 512000000000 16000000000 32.0 57746.05 390603600000.0 24.412725 128278100000.0 8.01738125 90523.2677 518881700000.0 32.43010625
2097152000.0 32 512000000000 16000000000 32.0 58210.12 387544300000.0 24.22151875 128262800000.0 8.016425 91759.4837 515807100000.0 32.23794375
2097152000.0 32 512000000000 16000000000 32.0 59237.98 387841000000.0 24.2400625 128199300000.0 8.01245625 93323.1925 516040300000.0 32.25251875
2097152000.0 32 512000000000 16000000000 32.0 56841.12 390005500000.0 24.37534375 128291500000.00002 8.01821875 88276.5885 518297000000.0 32.3935625
2097152000.0 32 512000000000 16000000000 32.0 58332.79 387810800000.0 24.238175 128110800000.00002 8.006925 92466.1758 515921600000.0 32.2451
2097152000.0 32 512000000000 16000000000 32.0 56408.85 387522100000.0 24.22013125 128109299999.99998 8.00683125 87803.2289 515631499999.99994 32.22696875
