# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 32 511998689280 1999994880 256.0 62387.31 259442900000.0 129.72178208776214 256229400000.0 128.11502797447162 102393.6378 515672299999.99994 257.8368100622337
2097152000.0 32 511998689280 1999994880 256.0 60958.33 259308800000.00003 129.65473191611372 256205100000.00003 128.10287794336753 101017.1354 515513900000.00006 257.75760985948125
2097152000.0 32 511998689280 1999994880 256.0 61621.55 259929700000.00003 129.96518271086777 256201000000.00003 128.10082793811952 99687.0432 516130800000.0 258.0660606491153
2097152000.0 32 511998689280 1999994880 256.0 59847.06 260577500000.0 130.28908354005387 256183200000.0 128.09192791533548 97267.4702 516760700000.00006 258.38101145538934
2097152000.0 32 511998689280 1999994880 256.0 61034.76 259479300000.00003 129.73998213435428 256223300000.0 128.1119779666636 99084.1222 515702500000.0 257.8519101008899
2097152000.0 32 511998689280 1999994880 256.0 59770.3 260170200000.00003 130.08543301870856 256251700000.00003 128.1261780030157 94413.4 516421900000.00006 258.21161102172425
2097152000.0 32 511998689280 1999994880 256.0 61368.89 260333900000.00003 130.16728322824508 256253900000.0 128.1272780058317 98081.4245 516587700000.00006 258.29451123394875
2097152000.0 32 511998689280 1999994880 256.0 61659.93 258952999999.99997 129.47683146068852 256140800000.0 128.07072786106332 99858.0097 515093800000.0 257.54755932175186
2097152000.0 32 511998689280 1999994880 256.0 61960.65 259373900000.0 129.68728199944192 256231499999.99997 128.11607797715962 101425.2674 515605400000.00006 257.80335997660154
2097152000.0 32 511998689280 1999994880 256.0 61685.76 260618600000.0 130.309633592662 256072299999.99997 128.0364777733831 98385.0505 516690799999.99994 258.3460613659171
2097152000.0 32 511998689280 1999994880 256.0 62146.39 258951300000.0 129.47598145851254 256065299999.99997 128.03297776442307 102619.9129 515016600000.00006 257.50895922293563
2097152000.0 32 511998689280 1999994880 256.0 63799.04 259281999999.99997 129.6413318818096 256198600000.0 128.09962793504752 105122.6363 515480600000.0 257.74095981685707
2097152000.0 32 511998689280 1999994880 256.0 61737.17 259162300000.00003 129.58148172859322 256193499999.99997 128.09707792851947 101026.418 515355900000.0 257.6786096572407
2097152000.0 32 511998689280 1999994880 256.0 61155.95 259926699999.99997 129.96368270702771 256074200000.00003 128.0374277758151 100599.225 516000900000.0 258.0011104828428
2097152000.0 32 511998689280 1999994880 256.0 61608.21 259612399999.99997 129.80653230472268 256247900000.00003 128.12427799815168 102119.4197 515860199999.99994 257.93076030274636
2097152000.0 32 511998689280 1999994880 256.0 62074.35 259457299999.99997 129.7289821061942 256248100000.00003 128.12437799840768 101382.2204 515705400000.00006 257.8533601046019
2097152000.0 32 511998689280 1999994880 256.0 60738.05 259185000000.0 129.5928317576493 256236700000.0 128.11867798381564 98658.3921 515421700000.0 257.7115097414649
2097152000.0 32 511998689280 1999994880 256.0 62432.9 260764700000.0 130.3826837796705 256067600000.00003 128.0341277673671 100447.1436 516832300000.00006 258.4168115470376
2097152000.0 32 511998689280 1999994880 256.0 61112.97 259100800000.0 129.55073164987303 256055900000.0 128.02827775239106 98908.1785 515156700000.0 257.57900940226403
