# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 32 511998689280 1333329920 384.0 58926.26 348344400000.0 261.2589688229602 170921500000.0 128.19145317012013 94048.3869 519265900000.0 389.4504219930803
2097152000.0 32 511998689280 1333329920 384.0 59890.98 347672300000.0 260.7548925325249 170917800000.0 128.1886781630161 95729.9792 518590100000.0 388.943570695541
2097152000.0 32 511998689280 1333329920 384.0 62867.66 345725000000.0 259.29441379369933 170859000000.0 128.1445780501198 103162.154 516584100000.00006 387.43906684401117
2097152000.0 32 511998689280 1333329920 384.0 65708.37 344557000000.0 258.4184115511336 170904900000.0 128.17900313824805 109570.8433 515461900000.0 386.5974146893816
2097152000.0 32 511998689280 1333329920 384.0 61572.26 346049500000.0 259.5377894167409 170855900000.0 128.1422530441678 101364.1824 516905300000.0 387.6799674607167
2097152000.0 32 511998689280 1333329920 384.0 62280.88 346498000000.0 259.8741652778631 170918000000.0 128.1888281634001 99903.1826 517416000000.00006 388.06299344126325
2097152000.0 32 511998689280 1333329920 384.0 58867.79 347411900000.0 260.5595920325556 170912500000.0 128.18470315284006 93870.8553 518324399999.99994 388.74429518539563
2097152000.0 32 511998689280 1333329920 384.0 62805.81 345730800000.0 259.2987638048353 170783300000.0 128.08780290477546 103069.3963 516514100000.0 387.38656670961075
2097152000.0 32 511998689280 1333329920 384.0 61485.55 346748700000.0 260.06219075920836 170913000000.0 128.18507815380008 100256.7186 517661700000.0 388.24726891300844
2097152000.0 32 511998689280 1333329920 384.0 61106.22 347306200000.0 260.48031682961107 170919600000.0 128.1900281664721 99664.5784 518225800000.00006 388.67034499608326
2097152000.0 32 511998689280 1333329920 384.0 62553.25 345454400000.0 259.091463274146 170909700000.0 128.18260314746402 103337.1665 516364100000.0 387.27406642161003
2097152000.0 32 511998689280 1333329920 384.0 63227.95 345969300000.0 259.4776392627565 170908500000.0 128.18170314516004 104026.9044 516877800000.0 387.65934240791654
2097152000.0 32 511998689280 1333329920 384.0 63399.68 346137600000.0 259.60386458589335 170784300000.0 128.08855290669544 104110.9421 516921900000.00006 387.6924174925888
2097152000.0 32 511998689280 1333329920 384.0 61740.53 345803800000.0 259.3535139449957 170899600000.0 128.175028128072 100354.2174 516703400000.0 387.5285420730677
2097152000.0 32 511998689280 1333329920 384.0 62124.56 346045400000.0 259.53471440886887 170782200000.0 128.08697790266342 101086.7484 516827500000.0 387.6216173113403
2097152000.0 32 511998689280 1333329920 384.0 61580.64 345482000000.0 259.11216332713815 170867300000.0 128.15080306605586 101084.3042 516349300000.0 387.26296639319395
2097152000.0 32 511998689280 1333329920 384.0 59575.15 347130500000.0 260.3485414922662 170779400000.0 128.0848778972874 97116.0651 517909900000.0 388.43341938955365
2097152000.0 32 511998689280 1333329920 384.0 62098.05 345548200000.0 259.16181345424246 170913100000.0 128.18515315399205 101853.2128 516461400000.0 387.34704160842654
2097152000.0 32 511998689280 1333329920 384.0 61130.41 346065200000.0 259.549564446885 170892200000.0 128.16947811386396 99227.1884 516957400000.0 387.71904256074896
