# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 22 1023999606784 15999993856 64.0 67584.81 1026510299999.9999 64.15691838625665 1023991800000.0 63.99951207581263 135335.9565 2050502100000.0002 128.1564304620693
2097152000.0 22 1023999606784 15999993856 64.0 67585.47 1026434000000.0 64.15214963442546 1023984100000.0 63.999030825627834 135331.7543 2050418200000.0 128.1511867100557
2097152000.0 22 1023999606784 15999993856 64.0 67588.27 1026467799999.9999 64.15426213523665 1023996400000.0 63.999799575923035 135340.1553 2050464300000.0 128.15406796116213
2097152000.0 22 1023999606784 15999993856 64.0 67584.61 1026484700000.0 64.15531838564225 1024019500000.0001 64.00124332647744 135336.0023 2050504199999.9998 128.15656171211967
2097152000.0 22 1023999606784 15999993856 64.0 67583.51 1026494500000.0 64.15593088587747 1024003099999.9999 64.00021832608384 135333.062 2050497500000.0 128.1561429619589
2097152000.0 22 1023999606784 15999993856 64.0 67582.77 1026444800000.0 64.15282463468466 1023997400000.0 63.99986207594703 135327.9834 2050442200000.0 128.1526867106317
2097152000.0 22 1023999606784 15999993856 64.0 67587.01 1026481200000.0 64.15509963555824 1023995400000.0 63.99973707589904 135339.0011 2050476500000.0002 128.1548304614549
2097152000.0 22 1023999606784 15999993856 64.0 67582.6 1026556900000.0 64.15983088737507 1023993300000.0 63.99960582584864 135334.7562 2050550300000.0 128.1594429632261
2097152000.0 22 1023999606784 15999993856 64.0 67587.45 1026506200000.0 64.15666213615826 1023975400000.0 63.99848707541904 135340.143 2050481699999.9998 128.15515546157968
2097152000.0 22 1023999606784 15999993856 64.0 67582.72 1026491400000.0001 64.15573713580307 1023974900000.0 63.99845582540704 135329.3037 2050466300000.0 128.1541929612101
2097152000.0 22 1023999606784 15999993856 64.0 67584.08 1026419200000.0 64.15122463407026 1023953400000.0 63.997112074891035 135325.8886 2050372600000.0002 128.1483367089613
2097152000.0 22 1023999606784 15999993856 64.0 67588.36 1026551300000.0001 64.15948088724066 1024008200000.0 64.00053707620624 135347.0664 2050559499999.9998 128.1600179634469
2097152000.0 22 1023999606784 15999993856 64.0 67589.73 1026454500000.0 64.15343088491747 1023989800000.0 63.99938707576464 135341.9639 2050444300000.0 128.1528179606821
2097152000.0 22 1023999606784 15999993856 64.0 67588.13 1026453500000.0001 64.15336838489347 1024005600000.0 64.00037457614384 135339.8174 2050459100000.0 128.1537429610373
2097152000.0 22 1023999606784 15999993856 64.0 67588.87 1026482400000.0001 64.15517463558707 1023995600000.0 63.999749575903834 135342.7609 2050478000000.0 128.1549242114909
2097152000.0 22 1023999606784 15999993856 64.0 67588.01 1026572300000.0 64.16079338774466 1023946800000.0 63.99669957473264 135343.5033 2050518999999.9998 128.15748671247488
2097152000.0 22 1023999606784 15999993856 64.0 67588.41 1026453000000.0 64.15333713488145 1023986700000.0 63.99919332569024 135339.0692 2050439700000.0 128.15253046057168
2097152000.0 22 1023999606784 15999993856 64.0 67579.56 1026481200000.0 64.15509963555824 1023992300000.0 63.99954332582463 135323.9714 2050473500000.0 128.1546429613829
2097152000.0 22 1023999606784 15999993856 64.0 67584.69 1026463700000.0 64.15400588513826 1023989800000.0 63.99938707576464 135332.6569 2050453500000.0 128.15339296090292
