# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 22 511999803392 7999996928 64.0 153225.74 512812500000.0 64.10158711500945 162400000.0 0.020300007795202992 153523.5848 512975000000.0 64.12189962280945
2097152000.0 22 511999803392 7999996928 64.0 153257.56 512772600000.0 64.09659961309426 176200000.0 0.022025008457603246 153546.7432 512948800000.0 64.11862462155186
2097152000.0 22 511999803392 7999996928 64.0 153230.2 512811500000.0 64.10146211496145 184200000.0 0.023025008841603394 153534.2234 512995800000.00006 64.12449962380786
2097152000.0 22 511999803392 7999996928 64.0 153226.1 512766499999.99994 64.09583711280143 178000000.0 0.02225000854400328 153514.3812 512944499999.99994 64.11808712134545
2097152000.0 22 511999803392 7999996928 64.0 153241.55 512756700000.0 64.09461211233105 180200000.0 0.02252500864960332 153526.8495 512936900000.00006 64.11713712098066
2097152000.0 22 511999803392 7999996928 64.0 153231.82 512791600000.0 64.09897461400625 181800000.0 0.02272500872640335 153527.8778 512973300000.0 64.12168712272786
2097152000.0 22 511999803392 7999996928 64.0 153284.79 512773100000.0 64.09666211311824 174200000.0 0.021775008361603208 153573.9207 512947300000.00006 64.11843712147987
2097152000.0 22 511999803392 7999996928 64.0 153256.15 512761300000.0 64.09518711255186 183400000.0 0.022925008803203382 153543.1378 512944800000.0 64.11812462135985
2097152000.0 22 511999803392 7999996928 64.0 153259.39 512792600000.0 64.09909961405424 179300000.0 0.022412508606403304 153555.3044 512971900000.0 64.12151212266066
2097152000.0 22 511999803392 7999996928 64.0 153303.78 512745500000.0 64.09321211179345 164200000.0 0.020525007881603028 153581.0426 512909700000.00006 64.11373711967506
2097152000.0 22 511999803392 7999996928 64.0 153243.84 512788500000.0 64.09858711385745 183400000.0 0.022925008803203382 153540.5365 512971900000.0 64.12151212266066
2097152000.0 22 511999803392 7999996928 64.0 153263.16 512788500000.0 64.09858711385745 181300000.0 0.02266250870240334 153557.6902 512969799999.99994 64.12124962255984
2097152000.0 22 511999803392 7999996928 64.0 153234.37 512799700000.0 64.09998711439506 186200000.0 0.023275008937603432 153535.2928 512986000000.0 64.12327462333745
2097152000.0 22 511999803392 7999996928 64.0 153222.09 512797200000.0 64.09967461427505 190800000.0 0.023850009158403514 153522.7382 512987899999.99994 64.12351212342865
2097152000.0 22 511999803392 7999996928 64.0 153266.82 512791000000.00006 64.09889961397745 176700000.0 0.022087508481603256 153561.7755 512967700000.00006 64.12098712245906
2097152000.0 22 511999803392 7999996928 64.0 153257.89 512788500000.0 64.09858711385745 189700000.0 0.023712509105603498 153556.0262 512978200000.0 64.12229962296306
2097152000.0 22 511999803392 7999996928 64.0 153200.87 512777700000.0 64.09723711333905 185500000.0 0.023187508904003416 153494.9372 512963200000.0 64.12042462224305
2097152000.0 22 511999803392 7999996928 64.0 153233.58 512761300000.0 64.09518711255186 172200000.0 0.021525008265603173 153518.4189 512933599999.99994 64.11672462082224
2097152000.0 22 511999803392 7999996928 64.0 153249.26 512787500000.0 64.09846211380946 175400000.0 0.021925008419203234 153542.3318 512962800000.0 64.12037462222385
