# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 22 767998623744 3999992832 192.0 105428.72 769418800000.0 192.35504470024011 256222800000.0 64.0558147880201 140799.3077 1025641599999.9999 256.4108594882602
2097152000.0 22 767998623744 3999992832 192.0 105439.32 769448400000.0 192.36244471350093 256228300000.0 64.0571897904841 140818.4223 1025676700000.0 256.41963450398504
2097152000.0 22 767998623744 3999992832 192.0 105449.12 769449500000.0 192.36271971399373 256222600000.0 64.0557647879305 140830.9112 1025672100000.0 256.41848450192424
2097152000.0 22 767998623744 3999992832 192.0 105431.58 769417700000.0 192.3547696997473 256222899999.99997 64.0558397880649 140802.8344 1025640699999.9999 256.41063448785695
2097152000.0 22 767998623744 3999992832 192.0 105449.73 769390600000.0 192.34799468760647 256214900000.0 64.0538397844809 140822.7582 1025605499999.9999 256.40183447208733
2097152000.0 22 767998623744 3999992832 192.0 105445.24 769423400000.0 192.3561947023009 256226200000.0 64.0566647895433 140822.7836 1025649500000.0 256.4128344917994
2097152000.0 22 767998623744 3999992832 192.0 105443.93 769390100000.0 192.34786968738248 256210100000.0 64.05263978233049 140813.8292 1025600200000.0001 256.40050946971303
2097152000.0 22 767998623744 3999992832 192.0 105435.6 769446400000.0 192.36194471260492 256221900000.0 64.0555897876169 140812.6613 1025668300000.0 256.41753450022185
2097152000.0 22 767998623744 3999992832 192.0 105439.95 769449000000.0 192.36259471376974 256236900000.0 64.0593397943369 140820.9232 1025685800000.0 256.42190950806184
2097152000.0 22 767998623744 3999992832 192.0 105452.19 769397200000.0 192.34964469056328 256204099999.99997 64.05113977964248 140825.0242 1025601300000.0 256.40078447020574
2097152000.0 22 767998623744 3999992832 192.0 105443.01 769435600000.0 192.35924470776652 256216099999.99997 64.05413978501849 140820.5021 1025651800000.0001 256.4134094928298
2097152000.0 22 767998623744 3999992832 192.0 105438.98 769374200000.0 192.34389468025927 256204400000.00003 64.0512147797769 140805.3142 1025578600000.0 256.39510946003617
2097152000.0 22 767998623744 3999992832 192.0 105451.71 769423900000.0 192.35631970252493 256226600000.00003 64.05676478972251 140831.2248 1025650400000.0 256.41305949220265
2097152000.0 22 767998623744 3999992832 192.0 105446.56 769399300000.0 192.3501696915041 256208199999.99997 64.05216478147928 140818.5079 1025607500000.0001 256.4023344729834
2097152000.0 22 767998623744 3999992832 192.0 105433.33 769437200000.0 192.3596447084833 256220199999.99997 64.05516478685529 140807.8971 1025657400000.0 256.41480949533866
2097152000.0 22 767998623744 3999992832 192.0 105438.51 769426900000.0 192.35706970386892 256219400000.0 64.0549647864969 140813.8989 1025646300000.0001 256.41203449036584
2097152000.0 22 767998623744 3999992832 192.0 105448.06 769383400000.0 192.3461946843809 256202200000.0 64.05066477879129 140818.1937 1025585700000.0001 256.39688446321696
2097152000.0 22 767998623744 3999992832 192.0 105442.77 769430500000.0 192.35796970548174 256218500000.0 64.05473978609369 140819.3491 1025648999999.9999 256.4127094915754
2097152000.0 22 767998623744 3999992832 192.0 105445.22 769434600000.0 192.35899470731852 256210800000.0 64.05281478264409 140821.8345 1025645400000.0001 256.4118094899626
