# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 20 256000000000 1000000000 256.0 49762.5 255380800000.0 255.3808 256196399999.99997 256.1964 99447.387 511577200000.0 511.5772
2097152000.0 20 256000000000 1000000000 256.0 49887.11 255260900000.0 255.2609 256174699999.99997 256.1747 99670.1553 511435700000.0 511.4357
2097152000.0 20 256000000000 1000000000 256.0 49855.7 255245800000.0 255.24580000000003 256165200000.00003 256.1652 99601.1444 511411000000.0 511.41099999999994
2097152000.0 20 256000000000 1000000000 256.0 49753.38 255386700000.0 255.38670000000002 256190299999.99997 256.1903 99429.8947 511577000000.0 511.577
2097152000.0 20 256000000000 1000000000 256.0 49761.13 255320100000.0 255.32009999999997 256175000000.0 256.175 99430.5246 511495100000.0 511.4951
2097152000.0 20 256000000000 1000000000 256.0 49710.06 255438200000.0 255.4382 256195900000.0 256.1959 99352.9122 511634000000.0 511.634
2097152000.0 20 256000000000 1000000000 256.0 49809.88 255218800000.0 255.21879999999996 256161099999.99997 256.1611 99505.9927 511379900000.0 511.3799
2097152000.0 20 256000000000 1000000000 256.0 49804.94 255284100000.0 255.2841 256169500000.00003 256.1695 99509.6025 511453700000.0 511.4537000000001
2097152000.0 20 256000000000 1000000000 256.0 49948.59 255187500000.0 255.18749999999997 256143400000.0 256.1434 99771.7967 511331000000.0 511.33099999999996
2097152000.0 20 256000000000 1000000000 256.0 49764.58 255355800000.0 255.3558 256161600000.00003 256.1616 99440.599 511517400000.0 511.5174
2097152000.0 20 256000000000 1000000000 256.0 49762.57 255426400000.0 255.42640000000003 256198600000.0 256.1986 99458.8678 511625100000.0 511.6251
2097152000.0 20 256000000000 1000000000 256.0 49821.41 255369100000.0 255.3691 256188499999.99997 256.1885 99561.446 511557600000.0 511.5575999999999
2097152000.0 20 256000000000 1000000000 256.0 49879.73 255335800000.0 255.3358 256192300000.0 256.1923 99672.1818 511528100000.0 511.52809999999994
2097152000.0 20 256000000000 1000000000 256.0 49878.42 255339800000.0 255.33979999999997 256183700000.0 256.1837 99667.968 511523500000.0 511.5235
2097152000.0 20 256000000000 1000000000 256.0 49785.39 255311100000.0 255.31109999999998 256170900000.00003 256.1709 99479.2721 511482000000.0 511.482
2097152000.0 20 256000000000 1000000000 256.0 49746.07 255323100000.0 255.3231 256183900000.0 256.1839 99402.9943 511507000000.0 511.50699999999995
2097152000.0 20 256000000000 1000000000 256.0 49817.39 255369100000.0 255.3691 256199200000.00003 256.1992 99556.815 511568300000.0 511.5683
2097152000.0 20 256000000000 1000000000 256.0 49787.29 255280400000.0 255.28039999999996 256194599999.99997 256.1946 99477.1028 511475100000.0 511.4751
2097152000.0 20 256000000000 1000000000 256.0 49822.1 255356900000.0 255.3569 256191899999.99997 256.1919 99562.9892 511548900000.0 511.5489
