# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 20 255999344640 333332480 768.0 77165.29 255397300000.0 766.1938614562854 85466300000.0 256.3995563828644 102753.7523 340863600000.0 1022.5934178391498
2097152000.0 20 255999344640 333332480 768.0 76991.04 255475800000.0 766.4293620591668 85484700000.0 256.4547565241767 102550.4771 340960500000.0 1022.8841185833437
2097152000.0 20 255999344640 333332480 768.0 76864.65 255558000000.0 766.6759626904644 85500100000.0 256.500956642449 102414.9057 341058000000.0 1023.1766193321455
2097152000.0 20 255999344640 333332480 768.0 76996.59 255505500000.0 766.5184622872636 85496700000.0 256.49075661633697 102568.8447 341002200000.0 1023.0092189036005
2097152000.0 20 255999344640 333332480 768.0 76885.14 255507800000.0 766.5253623049275 85490400000.0 256.4718565679528 102425.1137 340998200000.0 1022.9972188728802
2097152000.0 20 255999344640 333332480 768.0 76633.52 255511100000.0 766.5352623302716 85510200000.0 256.5312567200172 102096.0509 341021300000.0 1023.0665190502888
2097152000.0 20 255999344640 333332480 768.0 76755.15 255537700000.0 766.61506253456 85502700000.0 256.5087566624171 102260.1549 341040400000.0 1023.123819196977
2097152000.0 20 255999344640 333332480 768.0 76910.47 255453600000.0 766.3627618886704 85500800000.0 256.503056647825 102445.8346 340954400000.0 1022.8658185364955
2097152000.0 20 255999344640 333332480 768.0 76984.09 255473700000.0 766.423062043039 85492100000.0 256.4769565810088 102544.6514 340965800000.0 1022.9000186240478
2097152000.0 20 255999344640 333332480 768.0 76691.7 255524200000.0 766.5745624308798 85498600000.0 256.49645663092895 102173.7061 341022800000.0 1023.0710190618089
2097152000.0 20 255999344640 333332480 768.0 76841.62 255512700000.0 766.5400623425595 85499000000.0 256.497656634001 102370.2436 341011700000.0 1023.0377189765607
2097152000.0 20 255999344640 333332480 768.0 76938.75 255551200000.0 766.6555626382403 85494100000.0 256.4829565963689 102511.9145 341045200000.0 1023.1382192338413
2097152000.0 20 255999344640 333332480 768.0 77027.44 255499700000.0 766.5010622427193 85491700000.0 256.4757565779368 102611.4284 340991400000.0 1022.9768188206561
2097152000.0 20 255999344640 333332480 768.0 77037.42 255446900000.0 766.3426618372143 85493800000.0 256.48205659406483 102609.0859 340940700000.0 1022.8247184312792
2097152000.0 20 255999344640 333332480 768.0 77190.12 255502600000.0 766.5097622649914 85494200000.0 256.4832565971369 102829.1648 340996800000.0 1022.9930188621282
2097152000.0 20 255999344640 333332480 768.0 77161.89 255490800000.0 766.4743621743672 85513500000.0 256.54115674536126 102794.1168 341004300000.0 1023.0155189197285
2097152000.0 20 255999344640 333332480 768.0 76937.79 255479600000.0 766.440762088351 85492100000.0 256.4769565810088 102485.6926 340971700000.0 1022.9177186693598
2097152000.0 20 255999344640 333332480 768.0 77652.45 255285400000.0 765.8581605968913 85450700000.0 256.352756263056 103365.7647 340736100000.0 1022.2109168599471
2097152000.0 20 255999344640 333332480 768.0 76895.13 255539500000.0 766.6204625483841 85493400000.0 256.48085659099286 102446.83 341032900000.0 1023.101319139377
