# Size(B) Threads DataVolume(B) Iterations DataVolume(B)/Iterations Bandwidth(MByte/s) MeasuredReadDataVolume(B) MeasuredReadDataVolume(B)/Iterations MeasuredWriteDataVolume(B) MeasuredWriteDataVolume(B)/Iterations MeasuredBandwidth(MBytes/s) MeasuredTotalDataVolume(B) MeasuredTotalDataVolume(B)/Iterations
2097152000.0 20 256000000000 1000000000 256.0 114756.37 256913799999.99997 256.9138 134200000.00000001 0.1342 115241.4444 257048000000.0 257.048
2097152000.0 20 256000000000 1000000000 256.0 115033.53 256911200000.0 256.9112 119000000.0 0.11900000000000001 115513.0352 257030199999.99997 257.0302
2097152000.0 20 256000000000 1000000000 256.0 114654.8 256927599999.99997 256.9276 127900000.00000001 0.1279 115145.2985 257055400000.00003 257.0554
2097152000.0 20 256000000000 1000000000 256.0 114605.88 256995099999.99997 256.9951 143700000.0 0.1437 115131.3365 257138800000.0 257.1388
2097152000.0 20 256000000000 1000000000 256.0 114728.79 257025400000.0 257.0254 134800000.0 0.1348 115264.213 257160199999.99997 257.1602
2097152000.0 20 256000000000 1000000000 256.0 114742.39 257013400000.0 257.0134 146300000.0 0.1463 115273.3879 257159700000.0 257.1597
2097152000.0 20 256000000000 1000000000 256.0 114758.56 256956399999.99997 256.9564 147500000.0 0.1475 115269.5928 257103900000.0 257.1039
2097152000.0 20 256000000000 1000000000 256.0 114584.46 257103700000.0 257.1037 145400000.0 0.1454 115158.7457 257249100000.0 257.2491
2097152000.0 20 256000000000 1000000000 256.0 114564.0 256969900000.0 256.9699 118300000.0 0.11829999999999999 115062.7434 257088300000.0 257.0883
2097152000.0 20 256000000000 1000000000 256.0 114688.48 256961300000.0 256.9613 139700000.0 0.1397 115196.3549 257101000000.0 257.101
2097152000.0 20 256000000000 1000000000 256.0 114874.37 257026500000.0 257.0265 140800000.0 0.1408 115414.2498 257167300000.0 257.1673
2097152000.0 20 256000000000 1000000000 256.0 114469.16 256945000000.0 256.945 133899999.99999999 0.1339 114966.5455 257078899999.99997 257.0789
2097152000.0 20 256000000000 1000000000 256.0 114252.04 256885400000.0 256.8854 114600000.0 0.1146 114714.1692 257000000000.0 257.0
2097152000.0 20 256000000000 1000000000 256.0 114730.53 256953100000.0 256.9531 139300000.0 0.1393 115236.2478 257092400000.0 257.0924
2097152000.0 20 256000000000 1000000000 256.0 113906.74 257060400000.00003 257.0604 153000000.0 0.153 114462.4032 257213399999.99997 257.2134
2097152000.0 20 256000000000 1000000000 256.0 114939.09 256932200000.00003 256.9322 138600000.0 0.1386 115434.6382 257070700000.0 257.0707
2097152000.0 20 256000000000 1000000000 256.0 114583.62 257005999999.99997 257.006 143400000.0 0.1434 115114.0231 257149400000.0 257.1494
2097152000.0 20 256000000000 1000000000 256.0 114655.93 256909499999.99997 256.9095 119200000.0 0.11920000000000001 115131.8615 257028700000.0 257.0287
2097152000.0 20 256000000000 1000000000 256.0 114921.37 256991499999.99997 256.9915 143700000.0 0.1437 115447.2464 257135200000.0 257.1352
